,model,dms_id,accuracy,precision,recall,f1,mcc,n
204,ESM2_35M,ACE2_HUMAN_Chan_2020,0.5168690958164642,0.5166516651665166,0.5166516651665166,0.5166516651665166,0.03373799610176845,2223
205,ESM2_150M,ACE2_HUMAN_Chan_2020,0.5762483130904184,0.5760576057605761,0.5760576057605761,0.5760576057605761,0.15249645468143938,2223
206,ESM2_650M,ACE2_HUMAN_Chan_2020,0.5762483130904184,0.5760576057605761,0.5760576057605761,0.5760576057605761,0.15249645468143938,2223
207,ESM2_3B,ACE2_HUMAN_Chan_2020,0.5573549257759784,0.5571557155715572,0.5571557155715572,0.5571557155715572,0.11470967240608954,2223
208,ESM2_15B,ACE2_HUMAN_Chan_2020,0.543859649122807,0.5436543654365437,0.5436543654365437,0.5436543654365437,0.0877191136379825,2223
209,Wavenet,ACE2_HUMAN_Chan_2020,0.5636527215474584,0.5634563456345635,0.5634563456345635,0.5634563456345635,0.1273052664978728,2223
210,RITA_s,ACE2_HUMAN_Chan_2020,0.4979757085020243,0.4977497749774977,0.4977497749774977,0.4977497749774977,-0.004048786173581387,2223
211,RITA_m,ACE2_HUMAN_Chan_2020,0.5168690958164642,0.5166516651665166,0.5166516651665166,0.5166516651665166,0.03373799610176845,2223
212,RITA_l,ACE2_HUMAN_Chan_2020,0.5474583895636527,0.5472547254725473,0.5472547254725473,0.5472547254725473,0.09491659597614438,2223
213,RITA_xl,ACE2_HUMAN_Chan_2020,0.5708502024291497,0.5706570657065707,0.5706570657065707,0.5706570657065707,0.14170023117419656,2223
214,Progen2_small,ACE2_HUMAN_Chan_2020,0.4853801169590643,0.48514851485148514,0.48514851485148514,0.48514851485148514,-0.029239974357147945,2223
215,Progen2_medium,ACE2_HUMAN_Chan_2020,0.537561853351327,0.5373537353735374,0.5373537353735374,0.5373537353735374,0.07512351954619922,2223
216,Progen2_base,ACE2_HUMAN_Chan_2020,0.5582546108861899,0.558055805580558,0.558055805580558,0.558055805580558,0.11650904299063,2223
217,Progen2_large,ACE2_HUMAN_Chan_2020,0.5582546108861899,0.558055805580558,0.558055805580558,0.558055805580558,0.11650904299063,2223
218,Progen2_xlarge,ACE2_HUMAN_Chan_2020,0.5897435897435898,0.5895589558955896,0.5895589558955896,0.5895589558955896,0.1794870134495464,2223
219,GEMME,ACE2_HUMAN_Chan_2020,0.5483580746738641,0.5481548154815482,0.5481548154815482,0.5481548154815482,0.09671596656068485,2223
220,VESPA,ACE2_HUMAN_Chan_2020,0.5519568151147098,0.5517551755175517,0.5517551755175517,0.5517551755175517,0.10391344889884672,2223
221,VESPAl,ACE2_HUMAN_Chan_2020,0.5384615384615384,0.5382538253825383,0.5382538253825383,0.5382538253825383,0.07692289013073969,2223
222,VespaG,ACE2_HUMAN_Chan_2020,0.5510571300044984,0.5508550855085509,0.5508550855085509,0.5508550855085509,0.10211407831430624,2223
223,ProtGPT2,ACE2_HUMAN_Chan_2020,0.5312640575798471,0.5310531053105311,0.5310531053105311,0.5310531053105311,0.06252792545441595,2223
224,Tranception_S_no_retrieval,ACE2_HUMAN_Chan_2020,0.5033738191632928,0.5031503150315032,0.5031503150315032,0.5031503150315032,0.006747437333661423,2223
225,Tranception_M_no_retrieval,ACE2_HUMAN_Chan_2020,0.5195681511470985,0.5193519351935193,0.5193519351935193,0.5193519351935193,0.03913610785538985,2223
226,Tranception_L_no_retrieval,ACE2_HUMAN_Chan_2020,0.5222672064777328,0.5220522052205221,0.5220522052205221,0.5220522052205221,0.04453421960901126,2223
227,Tranception_S,ACE2_HUMAN_Chan_2020,0.5672514619883041,0.5670567056705671,0.5670567056705671,0.5670567056705671,0.1345027488360347,2223
228,Tranception_M,ACE2_HUMAN_Chan_2020,0.5456590193432299,0.5454545454545454,0.5454545454545454,0.5454545454545454,0.09131785480706343,2223
229,Tranception_L,ACE2_HUMAN_Chan_2020,0.5420602789023842,0.5418541854185418,0.5418541854185418,0.5418541854185418,0.08412037246890157,2223
230,TranceptEVE_S,ACE2_HUMAN_Chan_2020,0.5528565002249213,0.5526552655265526,0.5526552655265526,0.5526552655265526,0.10571281948338719,2223
231,TranceptEVE_M,ACE2_HUMAN_Chan_2020,0.5420602789023842,0.5418541854185418,0.5418541854185418,0.5418541854185418,0.08412037246890157,2223
232,TranceptEVE_L,ACE2_HUMAN_Chan_2020,0.5411605937921727,0.540954095409541,0.540954095409541,0.540954095409541,0.0823210018843611,2223
233,CARP_38M,ACE2_HUMAN_Chan_2020,0.5033738191632928,0.5031503150315032,0.5031503150315032,0.5031503150315032,0.006747437333661423,2223
234,CARP_600K,ACE2_HUMAN_Chan_2020,0.5231668915879443,0.5229522952295229,0.5229522952295229,0.5229522952295229,0.04633359019355173,2223
235,CARP_640M,ACE2_HUMAN_Chan_2020,0.6086369770580297,0.6084608460846085,0.6084608460846085,0.6084608460846085,0.21727379572489622,2223
236,CARP_76M,ACE2_HUMAN_Chan_2020,0.5177687809266757,0.5175517551755175,0.5175517551755175,0.5175517551755175,0.03553736668630892,2223
237,MIF,ACE2_HUMAN_Chan_2020,0.6437246963562753,0.6435643564356436,0.6435643564356436,0.6435643564356436,0.2874492485219745,2223
238,MIFST,ACE2_HUMAN_Chan_2020,0.6194331983805668,0.6192619261926192,0.6192619261926192,0.6192619261926192,0.23886624273938184,2223
239,ESM-IF1,ACE2_HUMAN_Chan_2020,0.634727845254161,0.6345634563456346,0.6345634563456346,0.6345634563456346,0.2694555426765698,2223
240,ProteinMPNN,ACE2_HUMAN_Chan_2020,0.5402609086819613,0.54005400540054,0.54005400540054,0.54005400540054,0.08052163129982062,2223
241,ProtSSN_k10_h512,ACE2_HUMAN_Chan_2020,0.5807467386414755,0.5805580558055805,0.5805580558055805,0.5805580558055805,0.1614933076041417,2223
